model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2403.17297,0.522,0.475,0.047,8,8,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,BBH,hfopenllm_v2,papers_2402.16819,0.4419,0.395,0.0469,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2309.16609,0.3996,0.446,-0.0464,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,WinoGrande,papers_2403.17297,papers_2407.10671,0.773,0.819,-0.046,unknown,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2402.16819,0.761,0.807,-0.046,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2403.17297,papers_2407.10671,0.819,0.865,-0.046,unknown,unknown,opencompass,lm-evaluation-harness,,
meta/llama-3.2-90b-vision-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.819,0.773,0.046,,,helm,helm,,
google/gemma-7b,GSM8K,papers_2402.16819,papers_2403.08295,0.464,0.509,-0.045,8,11,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2401.04088,papers_2402.16819,0.261,0.306,-0.045,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,GSM8K,papers_2403.08295,papers_2407.10671,0.509,0.464,0.045,11,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2302.13971,papers_2402.16819,0.728,0.773,-0.045,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2402.16819,papers_2412.15115,0.555,0.6,-0.045,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2310.06825,papers_2402.16819,0.261,0.306,-0.045,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GPQA,papers_2407.10671,papers_2505.09388,0.379,0.424,-0.045,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2310.06825,papers_2412.15115,0.555,0.6,-0.045,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2310.06825,papers_2407.10671,0.555,0.6,-0.045,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2402.16819,papers_2407.10671,0.555,0.6,-0.045,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GPQA,hfopenllm_v2,papers_2407.10671,0.2919,0.247,0.0449,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,GPQA,hfopenllm_v2,papers_2412.15115,0.2919,0.247,0.0449,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.17297,papers_2405.19327,0.113,0.1574,-0.0444,4,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,BBH,hfopenllm_v2,papers_2402.16819,0.3496,0.394,-0.0444,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2403.17297,0.8331,0.789,0.0441,10,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2307.09288,papers_2401.04088,0.8,0.844,-0.044,10,10,lm-evaluation-harness,lm-evaluation-harness,,
EleutherAI/Pythia-6.9B,HellaSwag,papers_2312.00752,papers_2405.19327,0.64,0.596,0.044,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,HumanEval,papers_2303.08774,papers_2309.16609,0.481,0.525,-0.044,0,0,openai_evals,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MBPP,papers_2403.17297,papers_2407.10671,0.595,0.639,-0.044,3,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2302.13971,papers_2401.04088,0.476,0.432,0.044,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2302.13971,papers_2310.06825,0.476,0.432,0.044,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.17297,papers_2412.15115,0.789,0.833,-0.044,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MBPP,papers_2403.17297,papers_2412.15115,0.595,0.639,-0.044,3,unknown,opencompass,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2311.11045,papers_2410.21276,0.8061,0.85,-0.0439,5,0,lm-evaluation-harness,openai_evals,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2403.08295,0.7719,0.728,0.0439,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,BBH,hfopenllm_v2,papers_2403.17297,0.3496,0.393,-0.0434,3,3,lighteval,opencompass,lighteval/bbh,
Qwen/Qwen2.5-1.5B,MMLU-Pro,papers_2502.02737,papers_2505.09388,0.242,0.2853,-0.0433,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,GPQA,hfopenllm_v2,papers_2412.15115,0.2852,0.242,0.0432,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
Qwen/Qwen2.5-72B,GPQA,hfopenllm_v2,papers_2505.09388,0.4052,0.362,0.0432,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
Qwen/Qwen2.5-1.5B,BBH,hfopenllm_v2,papers_2505.09388,0.4078,0.451,-0.0432,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2.5-1.5B,BBH,hfopenllm_v2,papers_2412.15115,0.4078,0.451,-0.0432,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
unknown/MPT,TruthfulQA,papers_2307.09288,papers_2312.06550,0.2913,0.3344,-0.0431,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.17297,papers_2407.10671,0.789,0.832,-0.043,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2405.19327,papers_2407.10671,0.468,0.511,-0.043,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,MMLU-Pro,papers_2412.15115,papers_2502.02737,0.285,0.242,0.043,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2405.19327,papers_2412.15115,0.468,0.511,-0.043,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2408.00118,0.742,0.785,-0.043,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2310.06825,papers_2405.04324,0.261,0.304,-0.043,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MMLU,papers_2407.10671,papers_2409.12122,0.842,0.799,0.043,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2408.00118,0.305,0.262,0.043,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2408.00118,0.305,0.262,0.043,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2401.04088,papers_2405.04324,0.261,0.304,-0.043,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MMLU,papers_2409.12122,papers_2412.15115,0.799,0.842,-0.043,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,TruthfulQA,papers_2403.19887,papers_2407.10671,0.468,0.511,-0.043,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
unknown/DS-Coder-6.7B-Instruct,HumanEval,papers_2409.12186,papers_2411.04905,0.744,0.786,-0.042,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2407.10671,0.742,0.784,-0.042,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2302.13971,papers_2309.05463,0.476,0.434,0.042,25,25,lm-evaluation-harness,lm-evaluation-harness,,
qwen/qwen1.5-72b,Mean win rate,helm_lite,helm_mmlu,0.608,0.65,-0.042,,,helm,helm,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2412.15115,0.742,0.784,-0.042,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MATH,papers_2407.10671,papers_2408.00118,0.118,0.16,-0.042,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GSM8K,papers_2412.15115,papers_2505.09388,0.89,0.932,-0.042,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/CodeQwen1.5-7B-Chat,LiveCodeBench,papers_2409.12186,papers_2411.04905,0.672,0.714,-0.042,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2403.08295,0.8488,0.807,0.0418,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,WinoGrande,papers_2312.15166,papers_2401.04088,0.8137,0.772,0.0417,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,IFEval,hfopenllm_v2,papers_2412.15115,0.1873,0.146,0.0413,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-0.5B,IFEval,hfopenllm_v2,papers_2505.09388,0.1873,0.146,0.0413,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2412.15115,0.601,0.642,-0.041,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2407.10671,0.601,0.642,-0.041,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2407.10671,0.601,0.642,-0.041,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2412.15115,0.601,0.642,-0.041,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU-Pro,papers_2407.10671,papers_2505.09388,0.4,0.441,-0.041,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2310.06825,papers_2403.17297,0.247,0.288,-0.041,unknown,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2403.17297,0.105,0.146,-0.041,0,0,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2302.13971,papers_2401.04088,0.728,0.687,0.041,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2302.13971,papers_2310.06825,0.728,0.687,0.041,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.17297,papers_2408.00118,0.789,0.83,-0.041,unknown,10,opencompass,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,WinoGrande,papers_2312.15166,papers_2403.17297,0.8137,0.773,0.0407,5,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2402.16819,0.6416,0.601,0.0406,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2312.06550,0.601,0.6416,-0.0406,5,5,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2307.09288,papers_2312.06550,0.741,0.7813,-0.0403,10,10,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,MMLU,papers_2307.09288,papers_2312.06550,0.268,0.308,-0.04,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU-Pro,papers_2412.15115,papers_2505.09388,0.401,0.441,-0.04,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,MMLU,papers_2307.09288,papers_2309.16609,0.268,0.308,-0.04,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,WinoGrande,papers_2401.04088,papers_2403.19887,0.772,0.812,-0.04,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2402.16819,papers_2407.10671,0.663,0.703,-0.04,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2402.16819,papers_2412.15115,0.663,0.703,-0.04,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,BBH,hfopenllm_v2,papers_2407.10671,0.3239,0.284,0.0399,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2405.19327,0.601,0.6404,-0.0394,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2405.19327,0.601,0.6404,-0.0394,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-7B,GPQA,hfopenllm_v2,papers_2412.15115,0.3247,0.364,-0.0393,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2403.17297,0.601,0.64,-0.039,5,5,lm-evaluation-harness,opencompass,,
google/gemma-2b,MMLU,papers_2408.00118,papers_2408.12570,0.752,0.713,0.039,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/PaLM,BoolQ,papers_2302.13971,papers_2305.10403,0.848,0.887,-0.039,0,unknown,lm-evaluation-harness,unknown,,
openai/gpt-4,HellaSwag,papers_2303.08774,papers_2403.04652,0.953,0.914,0.039,10,10,openai_evals,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,NaturalQuestions,papers_2403.17297,papers_2501.00656,0.345,0.384,-0.039,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2412.15115,papers_2501.00656,0.362,0.401,-0.039,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2302.13971,papers_2402.19173,0.11,0.149,-0.039,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.16609,papers_2402.19173,0.11,0.149,-0.039,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
google/PaLM,HellaSwag,papers_2302.13971,papers_2305.10403,0.797,0.836,-0.039,10,10,lm-evaluation-harness,unknown,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2403.17297,0.601,0.64,-0.039,5,5,lm-evaluation-harness,opencompass,,
mistralai/Mixtral-8x7B-v0.1,WinoGrande,papers_2403.17297,papers_2403.19887,0.773,0.812,-0.039,unknown,unknown,opencompass,lm-evaluation-harness,,
openai/gpt-3.5-turbo,GSM8K,papers_2403.17297,papers_2501.00656,0.782,0.743,0.039,8,8,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2401.04088,0.8488,0.81,0.0388,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2404.05892,0.8488,0.81,0.0388,10,10,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GPQA,hfopenllm_v2,papers_2505.09388,0.3045,0.343,-0.0385,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2412.15115,0.4003,0.362,0.0383,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-70b-hf,MATH,papers_2401.04088,papers_2409.12186,0.138,0.1,0.038,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2312.06550,papers_2403.17297,0.7774,0.74,0.0374,10,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MATH,papers_2405.04324,papers_2405.19327,0.024,0.0614,-0.0374,4,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,GPQA,hfopenllm_v2,papers_2412.15115,0.2609,0.298,-0.0371,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2402.16819,papers_2403.17297,0.183,0.146,0.037,0,0,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-0.5B,GSM8K,papers_2412.15115,papers_2505.09388,0.364,0.401,-0.037,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,HumanEval,papers_2407.10671,papers_2412.15115,0.311,0.348,-0.037,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GSM8K,papers_2409.12122,papers_2505.09388,0.895,0.932,-0.037,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2402.19173,papers_2403.17297,0.426,0.389,0.037,unknown,3,bigcode-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2309.05463,papers_2402.16819,0.691,0.728,-0.037,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GSM8K,papers_2407.10671,papers_2505.09388,0.895,0.932,-0.037,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MATH,papers_2412.15115,papers_2505.09388,0.216,0.253,-0.037,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen-14B,HellaSwag,papers_2312.15166,papers_2403.17297,0.8399,0.803,0.0369,10,unknown,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-57B-A14B,GPQA,hfopenllm_v2,papers_2407.10671,0.3062,0.343,-0.0368,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,MATH,papers_2403.08295,papers_2405.19327,0.025,0.0614,-0.0364,4,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2406.11704,0.8488,0.885,-0.0362,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,BBH,papers_2403.04652,papers_2406.12793,0.867,0.831,0.036,3,3,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MMLU,papers_2409.12122,papers_2505.09388,0.448,0.412,0.036,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2401.04088,papers_2402.16819,0.771,0.807,-0.036,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.16609,papers_2403.08295,0.11,0.146,-0.036,8,11,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MATH,papers_2407.10671,papers_2505.09388,0.217,0.253,-0.036,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2402.16819,papers_2403.08295,0.728,0.692,0.036,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2302.13971,papers_2309.05463,0.11,0.146,-0.036,8,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MATH,papers_2409.12122,papers_2505.09388,0.217,0.253,-0.036,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2403.17297,papers_2407.10671,0.475,0.511,-0.036,3,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2310.06825,papers_2407.10671,0.475,0.511,-0.036,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2310.06825,papers_2412.15115,0.475,0.511,-0.036,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,GSM8K,papers_2407.10671,papers_2505.09388,0.365,0.401,-0.036,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2309.16609,0.146,0.11,0.036,unknown,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2302.13971,papers_2403.08295,0.11,0.146,-0.036,8,11,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2403.17297,papers_2412.15115,0.475,0.511,-0.036,3,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2310.06825,papers_2402.16819,0.771,0.807,-0.036,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2402.16819,0.8488,0.813,0.0358,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2310.06825,papers_2312.15166,0.813,0.8488,-0.0358,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,GSM8K,papers_2403.17297,papers_2407.10671,0.66,0.625,0.035,8,8,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2402.16819,papers_2403.08295,0.807,0.772,0.035,10,10,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,LiveCodeBench,papers_2407.10671,papers_2505.09388,0.357,0.322,0.035,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2501.00656,0.742,0.777,-0.035,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2302.13971,papers_2309.05463,0.728,0.763,-0.035,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2401.04088,papers_2403.17297,0.354,0.389,-0.035,3,3,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-72B,LiveCodeBench,papers_2407.10671,papers_2412.15115,0.357,0.322,0.035,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2402.16819,papers_2403.08295,0.494,0.459,0.035,25,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GPQA,papers_2412.15115,papers_2505.09388,0.308,0.343,-0.035,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2310.06825,papers_2403.17297,0.354,0.389,-0.035,3,3,lm-evaluation-harness,opencompass,,
google/Gemma2-27B,GPQA,papers_2412.15115,papers_2505.09388,0.349,0.384,-0.035,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,BBH,papers_2403.04652,papers_2501.00656,0.701,0.666,0.035,3,3,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,GPQA,hfopenllm_v2,papers_2412.15115,0.2978,0.263,0.0348,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Meta-Llama-3-70B,GPQA,hfopenllm_v2,papers_2412.15115,0.3977,0.363,0.0347,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Meta-Llama-3-70B,GPQA,hfopenllm_v2,papers_2407.10671,0.3977,0.363,0.0347,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,TriviaQA,papers_2403.17297,papers_2405.19327,0.559,0.5244,0.0346,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2412.15115,0.6078,0.642,-0.0342,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2407.10671,0.6078,0.642,-0.0342,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2501.00656,0.601,0.635,-0.034,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2403.04652,papers_2406.12793,0.83,0.864,-0.034,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2401.04088,papers_2405.19327,0.502,0.468,0.034,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2501.00656,0.601,0.635,-0.034,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2408.00118,papers_2412.15115,0.396,0.362,0.034,8,8,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,PIQA,papers_2309.05463,papers_2312.00752,0.69,0.724,-0.034,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-7B,ARC-Challenge,papers_2309.05463,papers_2407.14885,0.385,0.351,0.034,25,25,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2306.05685,papers_2403.04652,0.864,0.83,0.034,5,5,fastchat,lm-evaluation-harness,,
google/PaLM,PIQA,papers_2302.13971,papers_2305.10403,0.805,0.839,-0.034,unknown,unknown,lm-evaluation-harness,unknown,,
openai/gpt-4,MMLU,papers_2303.08774,papers_2403.04652,0.864,0.83,0.034,5,5,openai_evals,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2312.15166,0.6416,0.6078,0.0338,5,5,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,PIQA,papers_2309.05463,papers_2401.02385,0.69,0.7236,-0.0336,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-70b-hf,WinoGrande,papers_2312.15166,papers_2401.04088,0.8374,0.804,0.0334,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MBPP,papers_2412.15115,papers_2505.09388,0.769,0.802,-0.033,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2401.04088,papers_2402.16819,0.695,0.728,-0.033,5,5,lm-evaluation-harness,lm-evaluation-harness,,
